traffic_type,intensity,mean_fct,p95_fct,p99_fct
WebSearch,1,130.28425483703614,130.8768823504448,131.12398950338363
WebSearch,2,130.34126126527786,130.93580352067949,130.95055359840393
WebSearch,3,130.33310474236805,130.92787485122682,130.9433943748474
WebSearch,4,130.32330583274364,130.91344168186188,130.93595897197724
WebSearch,5,130.33088362073897,130.9314066171646,131.09489980697631
WebSearch,6,130.29210600177447,130.8982031583786,130.9354536175728
WebSearch,7,130.28564707449505,130.8905262708664,130.91638618946075
WebSearch,8,130.2639545187354,130.87300745248794,130.9257531452179
WebSearch,9,130.23375715017318,130.84867401123046,130.89995100021363
WebSearch,10,130.23189872527124,130.85205321311952,130.9070253300667
DataMining,1,130.24807018518447,130.84070858955383,130.85881526231765
DataMining,2,130.3439268219471,130.93562754392624,130.9479502415657
DataMining,3,130.33725479284922,130.93241925239562,130.95077351093292
DataMining,4,130.3183300435543,130.90974681377412,130.93246325016023
DataMining,5,130.31243928813933,130.9075537800789,130.9395270180702
DataMining,6,130.294438132445,130.88586876392364,130.92730512857437
DataMining,7,130.27970452376775,130.87502518892288,130.91715712308883
DataMining,8,130.2655543318391,130.87063426971434,130.92667471885682
DataMining,9,130.2345062247912,130.85201327800752,130.89885426998137
DataMining,10,130.22646166586875,130.84819855690003,130.90370527029037
