traffic_type,intensity,mean_fct,p95_fct,p99_fct
WebSearch,1,10.947332782011765,130.09966757297516,131.1462663602829
WebSearch,2,10.915611102947821,129.89875967502593,130.90038452625274
WebSearch,3,10.912079913188249,129.88574892282486,130.89180446624755
WebSearch,4,10.88986133978917,129.88406175374985,130.8825534796715
WebSearch,5,10.897541543153617,129.87790957689285,130.87784104108812
WebSearch,6,10.908106375351931,129.89517098665237,130.89649366855622
WebSearch,7,10.931249587090461,129.88273075819015,130.88672208547592
WebSearch,8,11.046272503871185,129.85497751235962,130.8580527639389
WebSearch,9,11.0581307331721,129.86243121623994,130.86614645957945
WebSearch,10,11.06961506806887,129.87662184238434,130.87531124114992
DataMining,1,12.330027161105987,129.87794070243837,130.8730617928505
DataMining,2,12.482696783542632,129.904059779644,130.89874998807906
DataMining,3,13.542430851856867,129.89268243312836,130.88608947515488
DataMining,4,14.817918088038763,129.8935483455658,130.8928007006645
DataMining,5,14.544736245473226,129.8904665827751,130.87925954818726
DataMining,6,16.029824858903886,129.89594025611876,130.89500352144242
DataMining,7,15.594547197080793,129.89756243228913,130.89530005693436
DataMining,8,16.30201895882686,129.89495000839233,130.8838926577568
DataMining,9,18.822684492667516,129.88974196910857,130.87685420036317
DataMining,10,18.791930287679037,129.91280590295793,130.89265866041183
